AutoreCommento,AutoreParere,Legge,Testo
Claudio Franchi,Mario Rossi,Riforma del Codice della Strada,"Esatto, la distrazione è la prima causa di incidenti mortali."
Martina De Luca,Laura Costa,Riforma del Codice della Strada,"Proposta interessante ma di difficile applicazione pratica per la privacy."
Giorgio Santoro,Alessandro Conti,Riforma del Codice della Strada,"La rieducazione non funziona senza la certezza della pena."
Pietro Orlando,Antonio Barbieri,Riforma del Codice della Strada,"Non credo sia applicabile sulla rete autostradale italiana attuale."
Valentina Rinaldi,Luigi Verdi,DL 123 - Riforma Digitale PA,"Senza API standard obbligatorie non si va da nessuna parte."
Simona Villa,Marco Romano,Regolamentazione Droni Urbani,"La blockchain forse è eccessiva, basterebbe un DB centralizzato sicuro."
Elisabetta Marchetti,Silvia Ferrari,DL 123 - Riforma Digitale PA,"Concordo, servono sportelli di assistenza fisica in ogni comune."
Chiara Lombardi,Paolo Ricci,Regolamentazione Droni Urbani,"Il divieto notturno penalizzerebbe troppo i servizi di sorveglianza."
Francesca Moretti,Anna Bianchi,Tutela Aree Marine Protette,"Fondamentale per la riproduzione ittica, specialmente per la Posidonia."
Stefano Caruso,Sofia Gallo,Tutela Aree Marine Protette,"Il turismo sostenibile porta più ricchezza nel lungo termine rispetto a quello di massa."
Nicola Palmieri,Davide Bruno,Tutela Aree Marine Protette,"Concordo pienamente, la cogestione è il modello vincente nelle AMP."
Lorenzo Gatti,Federico Marino,Tutela Aree Marine Protette,"Il monitoraggio satellitare ha costi proibitivi per i piccoli natanti."
Beatrice Serra,Giulia Neri,Flat Tax Incrementale,"La Corte Costituzionale potrebbe effettivamente bocciarla su queste basi."
Daniela Ferri,Giovanni Greco,Flat Tax Incrementale,"Le PMI hanno bisogno di meno tasse, ma anche di meno moduli da compilare."
Alessandra Rizzi,Elena Esposito,Flat Tax Incrementale,"3 anni sono pochi per vedere risultati strutturali, facciamo 5."
Roberto Rizzo,Giulia Neri,Flat Tax Incrementale,"La progressività va valutata sul sistema complessivo, non sulla singola imposta."
Martina De Luca,Mario Rossi,Riforma del Codice della Strada,"Le pene severe servono a poco senza controlli capillari."
Paolo Ricci,Luigi Verdi,DL 123 - Riforma Digitale PA,"L'interoperabilità è un miraggio senza un cloud nazionale unico."
Anna Bianchi,Sofia Gallo,Tutela Aree Marine Protette,"Il turismo nautico va regolamentato, non vietato, ma servono boe ecologiche."
Giovanni Greco,Roberto Rizzo,Flat Tax Incrementale,"L'arbitraggio si può evitare con controlli incrociati dell'Agenzia delle Entrate."
Marco Romano,Simona Villa,Regolamentazione Droni Urbani,"I corridoi sono essenziali per evitare collisioni con l'elisoccorso."
Laura Costa,Michele Pellegrini,Riforma del Codice della Strada,"La digitalizzazione del processo telematico sta già aiutando molto."
